Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;EFA_weighted;EFA_km_weighted;EFA_WTT_weighted;EFA_WTT_km_weighted;EFA_WTW_weighted;EFA_WTW_km_weighted
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NOx;Urban;TØ,4-5h,1-2km;0.130367681;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NOx;Urban;TØ,5-6h,1-2km;0.126103491;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NOx;Urban;TØ,6-7h,1-2km;0.121837445;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NOx;Urban;TØ,7-8h,1-2km;0.117569499;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NOx;Urban;TØ,8-9h,1-2km;0.11329972;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NOx;Urban;TØ,9-10h,1-2km;0.109028079;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NOx;Urban;TØ,10-11h,1-2km;0.104754619;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NOx;Urban;TØ,11-12h,1-2km;0.100479268;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;NOx;Urban;TØ,>12h,1-2km;0.098340951;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PM;Urban;TØ,0-1h,0-1km;0.000476801;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PM;Urban;TØ,1-2h,0-1km;0.000858622;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PM;Urban;TØ,2-3h,0-1km;0.000954942;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PM;Urban;TØ,3-4h,0-1km;0.001075246;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PM;Urban;TØ,4-5h,0-1km;0.001174589;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PM;Urban;TØ,5-6h,0-1km;0.001257694;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PM;Urban;TØ,6-7h,0-1km;0.00134411;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PM;Urban;TØ,7-8h,0-1km;0.001434032;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PM;Urban;TØ,8-9h,0-1km;0.001527671;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PM;Urban;TØ,9-10h,0-1km;0.001625255;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PM;Urban;TØ,10-11h,0-1km;0.00172703;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PM;Urban;TØ,11-12h,0-1km;0.001833261;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PM;Urban;TØ,>12h,0-1km;0.001887984;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PM;Urban;TØ,0-1h,1-2km;0.000742118;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PM;Urban;TØ,1-2h,1-2km;0.001758648;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PM;Urban;TØ,2-3h,1-2km;0.002109131;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PM;Urban;TØ,3-4h,1-2km;0.002391827;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PM;Urban;TØ,4-5h,1-2km;0.002610292;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PM;Urban;TØ,5-6h,1-2km;0.002769847;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PM;Urban;TØ,6-7h,1-2km;0.002931889;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PM;Urban;TØ,7-8h,1-2km;0.003096236;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PM;Urban;TØ,8-9h,1-2km;0.003262652;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PM;Urban;TØ,9-10h,1-2km;0.003430838;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PM;Urban;TØ,10-11h,1-2km;0.003600416;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PM;Urban;TØ,11-12h,1-2km;0.003770912;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PM;Urban;TØ,>12h,1-2km;0.003856326;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PN;Urban;TØ,0-1h,0-1km;1.45E+11;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PN;Urban;TØ,1-2h,0-1km;2.55E+11;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PN;Urban;TØ,2-3h,0-1km;2.83E+11;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PN;Urban;TØ,3-4h,0-1km;3.18E+11;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PN;Urban;TØ,4-5h,0-1km;3.48E+11;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PN;Urban;TØ,5-6h,0-1km;3.73E+11;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PN;Urban;TØ,6-7h,0-1km;3.98E+11;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PN;Urban;TØ,7-8h,0-1km;4.25E+11;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PN;Urban;TØ,8-9h,0-1km;4.53E+11;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PN;Urban;TØ,9-10h,0-1km;4.83E+11;;;;;
Average_OnlyCar_Marjolaine[4.1];pass. car;2022;REF F HB41;PN;Urban;TØ,10-11h,0-1km;5.13E+11;;;;;
